msa,pop10,pop11,pop12,pop13,pop14,pop15
"Rocky Mount, NC",152447,151807,150990,149997,149147,148069
"Rome, GA",96415,96208,96034,96039,96061,96504
"Sacramento-Roseville-Arden-Arcade, CA",2154521,2175568,2195353,2217634,2244879,2274194
"Saginaw, MI",199916,198855,198329,196764,195142,193307
"St. Cloud, MN",189219,190119,190564,191396,192579,194418
"St. George, UT",138424,141507,144597,147637,151876,155602
"St. Joseph, MO-KS",127235,127729,127957,127714,127377,126880
"St. Louis, MO-IL",2790026,2793783,2797113,2800914,2806191,2811588
"Salem, OR",391534,393862,396231,398608,403821,410091
"Salinas, CA",416413,421466,426441,429109,431293,433898
"Salisbury, MD-DE",374783,378188,381532,385088,389811,395300
"Salt Lake City, UT",1091699,1107958,1124609,1141905,1154513,1170266
"San Angelo, TX",112285,113442,115067,116563,118449,119659
"San Antonio-New Braunfels, TX",2153215,2194579,2238578,2283485,2332790,2384075
"San Diego-Carlsbad, CA",3104386,3142256,3184358,3223645,3265700,3299521
"San Francisco-Oakland-Hayward, CA",4345364,4400757,4462425,4529180,4595980,4656132
"San Jose-Sunnyvale-Santa Clara, CA",1842401,1870402,1898203,1928745,1954348,1976836
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",269905,271208,274552,276308,279116,281401
"Santa Cruz-Watsonville, CA",263266,264971,266597,269277,271401,274146
"Santa Fe, NM",144462,145395,146326,147154,147977,148686
"Santa Maria-Santa Barbara, CA",424379,426131,430873,436248,441228,444769
"Santa Rosa, CA",484791,487778,490746,495046,499674,502146
"Savannah, GA",348751,355819,362203,365776,372357,379199
"Scranton-Wilkes-Barre-Hazleton, PA",563743,564030,564328,561939,560041,558166
"Seattle-Tacoma-Bellevue, WA",3448636,3498362,3554031,3612962,3672866,3733580
"Sebastian-Vero Beach, FL",138233,138979,140640,142021,144772,147919
"Sebring, FL",98665,98284,97998,97762,98104,99491
"Sheboygan, WI",115474,115372,115010,114915,115262,115569
"Sherman-Denison, TX",121042,121249,121601,122165,123419,125467
"Shreveport-Bossier City, LA",441193,445044,448373,446754,444758,443708
"Sierra Vista-Douglas, AZ",131809,132996,131888,129605,127321,126427
"Sioux City, IA-NE-SD",168832,168951,168821,168746,168857,169069
"Sioux Falls, SD",229203,232714,237701,243326,248062,251854
"South Bend-Mishawaka, IN-MI",318985,319157,318560,318719,319454,320098
"Spartanburg, SC",313682,314784,316696,318784,321483,325079
"Spokane-Spokane Valley, WA",528577,529908,532432,535666,540915,547824
"Springfield, IL",210504,211656,212019,211633,211669,211156
"Springfield, MA",623424,625994,626975,628380,630672,631982
"Springfield, MO",437409,440348,444643,448718,452188,456456
"Springfield, OH",138246,137760,137193,136740,136482,135959
"State College, PA",154253,154976,155839,158213,159506,160580
"Staunton-Waynesboro, VA",118349,118905,118669,119410,119772,120221
"Stockton-Lodi, CA",687442,695432,701464,704654,715114,726106
"Sumter, SC",107571,107355,108075,108035,107940,107480
"Syracuse, NY",663029,662819,661539,662999,661751,660458
"Tallahassee, FL",369416,371067,375409,373409,375645,377924
"Tampa-St. Petersburg-Clearwater, FL",2788715,2828490,2847270,2873489,2917813,2975225
"Terre Haute, IN",172300,172548,172586,172091,171381,171019
"Texarkana, TX-AR",149352,149385,149553,149564,149366,149769
"The Villages, FL",94279,98581,102781,108253,114000,118891
"Toledo, OH",610131,609380,608234,607801,606781,605956
"Topeka, KS",234279,234746,234513,233986,233798,233791
"Trenton, NJ",367959,367908,369171,370984,371601,371398
"Tucson, AZ",981870,988024,992973,997418,1004244,1010025
"Tulsa, OK",939978,946118,953210,962944,970107,981005
"Tuscaloosa, AL",230428,231361,233299,235296,237989,239908
"Tyler, TX",210470,212832,215088,216854,220050,222936
"Urban Honolulu, HI",956377,966581,976711,986802,992082,998714
"Utica-Rome, NY",299281,298890,298543,297941,296987,295600
"Valdosta, GA",140082,142469,144726,142959,143428,142875
"Vallejo-Fairfield, CA",414062,416754,420360,424770,430791,436092
"Victoria, TX",94083,94676,96629,97602,98724,99913
"Vineland-Bridgeton, NJ",157155,157570,157677,156977,157099,155854
"Virginia Beach-Norfolk-Newport News, VA-NC",1679972,1686832,1698144,1706680,1717853,1724876
"Visalia-Porterville, CA",443081,447615,451218,454208,457260,459863
"Waco, TX",253821,255696,257021,258784,260264,262813
"Walla Walla, WA",63031,63528,63429,63593,63745,64282
"Warner Robins, GA",180420,183634,185460,186454,187534,188149
"Washington-Arlington-Alexandria, DC-VA-MD-WV",5666536,5778317,5872677,5964439,6033891,6097684
"Waterloo-Cedar Falls, IA",167919,168286,168624,169590,170096,170612
"Watertown-Fort Drum, NY",116570,118172,120772,119192,118964,117635
"Wausau, WI",134069,134500,134630,135266,135619,135868
"Weirton-Steubenville, WV-OH",124280,123339,122491,121940,121313,120512
"Wenatchee, WA",111294,112140,113049,113541,114420,116178
"Wheeling, WV-OH",147854,147098,146380,145798,144909,144198
"Wichita, KS",631907,633367,636319,638643,641480,644610
"Wichita Falls, TX",151649,150378,151085,151686,152144,150780
"Williamsport, PA",116204,116697,117314,116717,116503,116048
"Wilmington, NC",255648,259262,263091,268292,272671,277969
"Winchester, VA-WV",128694,130014,130981,132127,133291,133836
"Winston-Salem, NC",641399,644697,647636,651290,655195,659330
"Worcester, MA-CT",918934,922298,924255,928132,931802,935536
"Yakima, WA",244313,246326,246844,247342,247698,248830
"York-Hanover, PA",435539,436902,437833,439521,441177,442867
"Youngstown-Warren-Boardman, OH-PA",564878,562514,559062,556246,553510,549885
"Yuba City, CA",167159,167229,167425,168324,169487,170955
"Yuma, AZ",197069,202628,202375,202173,203483,204275
