statefips,countyfips,state,county,pop10,pop11,pop12,pop13,pop14,pop15
06,031,California,Kings County,152367,151969,151201,150748,150108,150965
06,033,California,Lake County,64744,64264,63974,63803,64156,64591
06,035,California,Lassen County,34839,34298,33674,32176,31732,31345
06,037,California,Los Angeles County,9826009,9896602,9970436,10045175,10109436,10170292
06,039,California,Madera County,151125,152089,152160,152125,154562,154998
06,041,California,Marin County,252903,255403,256021,258552,260550,261221
06,043,California,Mariposa County,18260,18191,17855,17734,17636,17531
06,045,California,Mendocino County,87811,87495,87522,87373,87683,87649
06,047,California,Merced County,256832,259784,261788,263312,266087,268455
06,049,California,Modoc County,9697,9497,9333,9110,9015,8965
06,051,California,Mono County,14246,14405,14322,14037,14057,13909
06,053,California,Monterey County,416413,421466,426441,429109,431293,433898
06,055,California,Napa County,136810,137998,139055,140413,141551,142456
06,057,California,Nevada County,98777,98779,98288,98142,98763,98877
06,059,California,Orange County,3017866,3056084,3089343,3120180,3144961,3169776
06,061,California,Placer County,350234,356832,361215,366858,371105,375391
06,063,California,Plumas County,19918,19684,19326,18841,18570,18409
06,065,California,Riverside County,2202286,2237433,2267556,2295816,2328329,2361026
06,067,California,Sacramento County,1422010,1435548,1448466,1462338,1481474,1501335
06,069,California,San Benito County,55557,56197,56885,57605,58308,58792
06,071,California,San Bernardino County,2041642,2064200,2079526,2091599,2110386,2128133
06,073,California,San Diego County,3104386,3142256,3184358,3223645,3265700,3299521
06,075,California,San Francisco County,805813,816231,829517,840715,852537,864816
06,077,California,San Joaquin County,687442,695432,701464,704654,715114,726106
06,079,California,San Luis Obispo County,269905,271208,274552,276308,279116,281401
06,081,California,San Mateo County,719973,729435,740645,750109,758333,765135
06,083,California,Santa Barbara County,424379,426131,430873,436248,441228,444769
06,085,California,Santa Clara County,1786844,1814205,1841318,1871140,1896040,1918044
06,087,California,Santa Cruz County,263266,264971,266597,269277,271401,274146
06,089,California,Shasta County,177317,177969,178421,179041,179747,179533
06,091,California,Sierra County,3221,3105,3075,3035,2979,2967
06,093,California,Siskiyou County,44940,44672,44148,43635,43465,43554
06,095,California,Solano County,414062,416754,420360,424770,430791,436092
06,097,California,Sonoma County,484791,487778,490746,495046,499674,502146
06,099,California,Stanislaus County,515334,518282,522097,526119,531951,538388
06,101,California,Sutter County,94802,94659,94479,95032,95604,96463
06,103,California,Tehama County,63593,63285,63222,62984,62961,63308
06,105,California,Trinity County,13764,13723,13508,13436,13128,13069
06,107,California,Tulare County,443081,447615,451218,454208,457260,459863
06,109,California,Tuolumne County,55185,54746,54129,53940,53872,53709
06,111,California,Ventura County,825298,831130,835416,840964,846119,850536
06,113,California,Yolo County,201129,202283,205093,206958,209250,213016
06,115,California,Yuba County,72357,72570,72946,73292,73883,74492
08,000,Colorado,Colorado,5048254,5119480,5191731,5271132,5355588,5456574
08,001,Colorado,Adams County,443680,452204,460728,470590,481169,491337
08,003,Colorado,Alamosa County,15926,16127,16136,16266,16318,16496
08,005,Colorado,Arapahoe County,574727,586033,596383,608403,619634,631096
08,007,Colorado,Archuleta County,12056,12010,12114,12184,12210,12352
08,009,Colorado,Baca County,3790,3810,3763,3682,3635,3615
08,011,Colorado,Bent County,6509,6325,5812,5736,5773,5830
08,013,Colorado,Boulder County,295986,300671,305548,310706,313864,319372
08,014,Colorado,Broomfield County,56271,57445,58949,60163,61875,65065
08,015,Colorado,Chaffee County,17803,18007,18104,18315,18459,18658
08,017,Colorado,Cheyenne County,1831,1864,1879,1889,1854,1829
08,019,Colorado,Clear Creek County,9083,9056,9070,9080,9171,9303
08,021,Colorado,Conejos County,8292,8316,8277,8254,8268,8130
08,023,Colorado,Costilla County,3527,3645,3601,3523,3552,3584
08,025,Colorado,Crowley County,5853,5843,5416,5322,5613,5562
08,027,Colorado,Custer County,4275,4223,4240,4262,4347,4445
08,029,Colorado,Delta County,30878,30379,30444,30315,29955,29979
08,031,Colorado,Denver County,603300,619374,633976,648411,663963,682545
08,033,Colorado,Dolores County,2065,2031,1993,2028,1975,1978
08,035,Colorado,Douglas County,286964,292593,298673,306368,314850,322387
08,037,Colorado,Eagle County,52085,51772,51991,52484,53026,53605
08,039,Colorado,Elbert County,23095,23267,23412,23690,24170,24735
08,041,Colorado,El Paso County,626916,636946,645678,655150,662874,674471
08,043,Colorado,Fremont County,46857,47420,47111,46441,46381,46692
08,045,Colorado,Garfield County,56094,56005,56770,57066,57443,58095
08,047,Colorado,Gilpin County,5461,5445,5455,5573,5722,5828
08,049,Colorado,Grand County,14783,14544,14156,14264,14477,14615
08,051,Colorado,Gunnison County,15379,15459,15475,15525,15727,16067
